Date,Close
2020-11-04,94.41999816894531
2020-11-05,96.69999694824219
2020-11-06,97.19000244140625
2020-11-09,99.7699966430664
2020-11-10,101.44999694824219
2020-11-11,100.80999755859375
2020-11-12,98.76000213623047
2020-11-13,100.83000183105469
2020-11-16,102.01000213623047
2020-11-17,103.33999633789062
2020-11-18,102.9800033569336
2020-11-19,102.36000061035156
2020-11-23,103.12000274658203
2020-11-24,105.75
2020-11-25,106.06999969482422
2020-11-27,106.44000244140625
2020-11-30,105.06999969482422
2020-12-01,107.43000030517578
2020-12-02,107.23999786376953
2020-12-03,108.7699966430664
2020-12-04,109.43000030517578
2020-12-07,109.9800033569336
2020-12-08,109.25
2020-12-09,108.55999755859375
2020-12-10,110.72000122070312
2020-12-11,110.79000091552734
